Date,Description,Vendor,Category,Payment,VAT,Amount (Incl VAT)
"11 Jan 2025","Cake boards","Spotlight","Board","DebitCard","0.00","16.00"
"14 Jan 2025","Cookie Cutters","Cookie Stamp Co","Supplies","PayPal","0.00","143.85"
"20 Jan 2025","Dried Flower Topper","The Sprinkle Bar","Supplies","PayPal","0.00","29.95"
"21 Jan 2025","Bake Diary","","Other","DebitCard","0.00","98.35"
"25 Jan 2025","ACDN","","Memberships","PayPal","0.00","84.00"
"27 Jan 2025","Cupcake Toppers","Edible Icing Cake Toppers","Supplies","PayPal","0.00","24.70"
"28 Jan 2025","Ingredients ","Foodworks Texas","Ingredients","DebitCard","0.00","14.76"
"29 Jan 2025","Eggs","Foodworks Texas","Ingredients","DebitCard","0.00","6.65"
"01 Feb 2025","Ingredients","Woolies","Ingredients","DebitCard","0.00","172.20"
"01 Feb 2025","Ingredients","Woolies","Ingredients","DebitCard","0.00","9.00"
"03 Feb 2025","Ingredients","Foodworks Texas","Ingredients","DebitCard","0.00","19.52"
"08 Feb 2025","Ingredients","Foodworks Texas","Ingredients","DebitCard","0.00","21.79"
"11 Feb 2025","Vanilla Bean","Natural Vanilla Paste","Ingredients","PayPal","0.00","77.00"
"14 Feb 2025","Ingredients","IGA Inglewood","Ingredients","DebitCard","0.00","25.22"
"17 Feb 2025","Ingredients","Foodworks Texas","Ingredients","DebitCard","0.00","25.98"
"18 Feb 2025","Ingredients","Foodworks Texas","Ingredients","DebitCard","0.00","20.85"
"25 Feb 2025","Ingredients ","Foodworks Texas","Ingredients","Cash","0.00","11.25"
"28 Feb 2025","Custom Topper","Bishop’s Goondiwindi","Supplies","Cash","0.00","12.95"
"22 May 2025","description","supplier","Advertising","Cash","13.00","1.10"
"22 May 2025","1","1","Advertising","Cash","1.00","1.00"
"22 May 2025","123","123","Advertising","Cash","111.00","1.00"
